Company Name,Ticker,Sector,Industry,Market Cap (B),Stock Price,PE Ratio,EPS,Dividend Yield,52W High,52W Low,Beta,Volume,Average Volume,Shares Outstanding (M),Institutional Ownership (%),Debt/Equity,Revenue (B),Net Income (B),Gross Margin (%),Header21,Header22,Header23,Header24,Header25,Header26,Header27,Header28,Header29,Header30
Webb and Sons,QCVI,Consumer Discretionary,,,118.61,20.84,11.28,,328.44,,,,30931941,1800.37,87.47,1.12,,47.2,69.73,443.06,64.75,242.61,674.59,750.76,457.95,183.28,164.37,214.43,943.09
Morris-Juarez,LIBF,,grow best-of-breed content,252.58,841.54,,,,631.99,41.46,,,,,71.4,0.58,261.1,63.85,60.13,,,545.52,137.11,,,900.1,903.34,,893.13
Fuentes Group,,,,,,,0.66,,86.69,377.96,,64810959,,165.98,,,,57.94,,,,,,419.69,110.1,25.25,,210.86,539.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Industrials,,,,25.49,8.81,,,510.02,1.83,,47596076,,80.12,0.23,,64.08,,,,338.64,930.69,604.02,489.47,,,,
,QXMF,,,352.36,,,13.47,,639.39,,0.95,,31896659,,38.72,1.7,,,,,76.83,,789.91,,232.15,,456.52,215.18,
"Tyler, Hickman and Miller",,,productize wireless partnerships,,,44.91,,2.07,,142.04,1.82,,27361587,1163.21,49.3,1.87,77.06,,,,,,,688.11,,,125.51,,
Diaz PLC,,,visualize efficient applications,,426.59,24.48,,1.25,,790.81,0.87,38888447,24181172,516.59,51.12,,93.18,60.8,52.81,656.79,674.43,394.47,119.49,881.1,611.22,908.38,,,1.05
Davies LLC,,,monetize killer content,,229.65,,,,653.08,507.77,0.58,,,1779.19,,,,,,345.0,734.79,470.39,,,,,,195.04,899.41
Martin-Hernandez,AUDU,,harness robust infrastructures,159.54,613.51,28.68,,3.73,,987.75,1.81,81778936,11576916,,,,21.56,,,461.61,62.99,287.13,,463.99,,830.5,407.62,,325.7
Jimenez and Sons,COKP,Industrials,,,,9.26,5.32,2.92,,102.69,,,25668694,242.45,,,231.17,53.69,20.33,,593.74,,,,,,133.34,,894.52
,,Industrials,integrate frictionless e-commerce,,722.29,,,1.65,,543.16,,53160952,49133487,,,1.78,,,54.41,,148.27,,,518.35,26.54,613.72,,591.48,832.94
"Thompson, Stone and Rodriguez",,,,,,41.69,,0.32,,751.0,,,,,,0.52,,,,,,625.35,110.94,,275.06,263.72,,408.67,167.2
,MJBT,Industrials,,,79.6,33.92,,1.22,751.49,997.78,0.95,61023069,11141660,1772.11,,,187.07,35.15,71.32,658.52,427.32,210.57,619.43,210.63,,,605.45,999.86,458.09
,,,,189.38,,49.03,,,962.8,628.17,1.29,16771733,,,72.76,,183.52,,78.24,,,558.26,86.75,538.15,,,409.01,479.82,696.12
,NETN,Industrials,syndicate cross-platform vortals,429.26,,48.4,,,290.22,379.52,,,19269849,,,0.85,224.36,,62.91,,,604.31,284.26,,,,602.8,777.04,
"Smith, Gibson and Lewis",GVOL,Industrials,,249.37,220.89,34.09,7.92,,,593.11,1.15,,18087404,,,1.83,106.3,84.5,,,447.23,,251.9,748.11,998.12,393.75,244.17,434.75,
"Doyle, Villanueva and Wright",EMQP,Industrials,,174.06,,,8.8,2.46,786.52,67.2,,,9698125,,55.76,1.92,57.28,26.79,46.21,913.54,11.45,,301.85,918.84,164.59,,,,
,PPKQ,,,141.13,347.78,10.61,9.58,,,,,,24923270,,82.19,,,,73.21,,,,165.07,4.75,,,645.08,831.82,
"Davidson, Villegas and Johnson",,Industrials,generate robust e-markets,,,,11.65,,,252.62,,,,412.61,61.21,1.24,27.03,,29.49,910.84,,680.25,,307.98,323.85,767.9,376.43,,910.76
Moore-Henson,ZORZ,,optimize impactful ROI,,448.36,,2.97,,213.04,,,65103896,,,30.11,0.91,29.0,15.06,,,,824.4,619.1,,,975.66,785.21,657.12,
Graves-Brown,,,,159.78,108.53,,0.52,,413.41,,,25861148,18708923,,,,,10.0,49.7,153.88,,,58.11,,,20.66,,79.77,615.36
,,Industrials,,121.05,335.44,,5.06,4.44,116.32,,,,,1850.32,61.43,0.73,137.23,,,,272.34,294.54,675.21,36.07,,251.94,504.05,307.87,
,,,,303.59,328.05,13.76,13.53,,260.45,,1.65,,,166.95,83.67,,,88.2,,,149.41,,,572.9,96.46,329.38,,,
Martin Ltd,,,enable virtual users,60.49,,,,,1019.01,,,,45495541,612.82,65.02,1.52,,,71.68,,,,94.63,,884.3,47.21,926.66,948.04,970.58
Warner-Perez,LHWQ,Industrials,embrace enterprise e-tailers,,,12.86,10.51,2.95,252.37,,1.6,9110461,12875425,,32.86,1.76,102.52,,50.58,230.96,833.3,404.21,,,,801.91,730.56,979.51,36.62
,,Industrials,,215.83,,24.94,3.29,,,749.06,,,,,69.94,,216.67,4.5,28.17,228.89,805.27,,,430.48,,,,,570.0
Perkins Group,,,utilize strategic users,481.87,,,5.32,,,,,,,,39.76,1.03,,58.13,38.2,29.33,101.03,,583.31,,352.65,427.96,,,735.81
"Orr, Walker and Moore",FOLQ,Industrials,utilize B2C applications,,,27.73,2.49,,,216.63,1.8,60643395,,118.24,72.87,,,96.0,20.36,,,444.02,542.04,,816.38,261.08,575.04,,928.79
Shaw and Sons,,,leverage proactive e-commerce,37.95,,15.87,9.2,4.48,236.92,,2.0,91047074,3787314,,35.83,0.29,,91.86,50.69,,,,458.26,,,181.98,,,
Ortiz-Cox,,Industrials,,344.62,634.59,,,3.13,67.08,,0.9,60376022,,,55.76,0.86,,,,,773.23,,,,,261.57,,,691.23
,,Industrials,,,669.5,21.61,9.96,,,,1.1,,16918022,1078.13,86.44,,79.14,,41.7,,,,321.84,69.01,,955.53,,,807.73
,,Industrials,morph seamless bandwidth,80.78,,,6.87,,,,,,27757076,,,0.39,99.74,58.65,,785.56,,,,,,298.2,54.59,,846.88
Villarreal-Sparks,NWAM,Industrials,,,,28.14,,3.94,,557.3,1.52,38518575,,,85.77,0.44,251.11,,,26.34,,191.36,330.08,169.1,,,,,672.08
"Campbell, Warner and Fuller",,,,,,41.43,,,,951.47,,,24247769,,,,,31.58,,942.92,,522.88,,20.73,,385.07,978.46,,544.69
,DPHB,,,,522.65,,8.73,,356.77,791.49,1.9,,11491396,1441.18,31.66,1.1,,,55.19,926.55,,,780.68,,,66.54,955.99,,394.5
Mueller LLC,KUPK,,strategize 24/365 e-business,,,12.43,,,,548.44,,,40713453,1905.04,92.62,,213.39,,22.78,71.87,,,32.58,965.01,,233.83,668.59,450.69,483.69
